iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
366,0.311920,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.073471,0.000534,-0.005112,0.000168,0.016815,0.017838
371,0.311935,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.068436,0.000534,-0.004272,0.000168,0.015778,0.016632
376,0.311951,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.070801,0.000534,-0.004272,0.000168,0.016373,0.017227
381,0.311981,-0.000046,-0.080765,0.315994,-0.000031,-0.080994,0.067444,0.000534,-0.010071,0.000168,0.014053,0.016068
386,0.311981,-0.000046,-0.080765,0.315994,-0.000031,-0.080994,0.078201,0.000534,-0.005417,0.000168,0.017899,0.018982
391,0.311981,-0.000046,-0.080765,0.315994,-0.000031,-0.080994,0.080032,0.000534,-0.004578,0.000168,0.018570,0.019485
396,0.311996,-0.000046,-0.080765,0.315994,-0.000031,-0.080994,0.072021,0.000534,-0.004578,0.000168,0.016586,0.017502
401,0.312012,-0.000046,-0.080765,0.315994,-0.000031,-0.080994,0.072784,0.000534,-0.004578,0.000168,0.016785,0.017685
406,0.312042,-0.000046,-0.080750,0.315994,-0.000031,-0.080994,0.045242,0.000534,-0.021210,0.000168,0.005707,0.009949
411,0.312042,-0.000046,-0.080750,0.315994,-0.000031,-0.080994,0.073471,0.000534,-0.007477,0.000168,0.016205,0.017700
416,0.312042,-0.000046,-0.080750,0.315994,-0.000031,-0.080994,0.078201,0.000534,-0.005188,0.000168,0.017960,0.018997
421,0.312057,-0.000046,-0.080750,0.315994,-0.000031,-0.080994,0.062332,0.000534,-0.004883,0.000168,0.014114,0.015091
426,0.312057,-0.000046,-0.080750,0.315994,-0.000031,-0.080994,0.076141,0.000534,-0.004883,0.000168,0.017532,0.018509
431,0.312073,-0.000046,-0.080750,0.315994,-0.000031,-0.080994,0.070038,0.000534,-0.004883,0.000168,0.016022,0.016998
436,0.312088,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.071259,0.000534,-0.010681,0.000168,0.014832,0.016968
441,0.312119,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.029678,0.000534,-0.006027,0.000168,0.005768,0.006973
446,0.312119,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.069580,0.000534,-0.005188,0.000168,0.015823,0.016861
451,0.312119,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.076294,0.000534,-0.005188,0.000168,0.017487,0.018524
456,0.312119,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.077438,0.000534,-0.005188,0.000168,0.017761,0.018799
461,0.312119,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.077515,0.000534,-0.005188,0.000168,0.017792,0.018814
466,0.312134,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.069275,0.000534,-0.005188,0.000168,0.015747,0.016785
471,0.312149,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.070038,0.000534,-0.005188,0.000168,0.015945,0.016983
476,0.312180,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.042496,0.000534,-0.021820,0.000168,0.004868,0.009232
481,0.312180,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.070724,0.000534,-0.008087,0.000168,0.015366,0.016983
486,0.312180,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.075455,0.000534,-0.005798,0.000168,0.017120,0.018280
491,0.312180,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.076294,0.000534,-0.005493,0.000168,0.017410,0.018509
496,0.312180,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.076294,0.000534,-0.005493,0.000168,0.017410,0.018509
501,0.312180,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.076294,0.000534,-0.005493,0.000168,0.017410,0.018509
506,0.312225,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.058670,0.000534,-0.005493,0.000168,0.013062,0.014160
511,0.312225,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.072708,0.000534,-0.005493,0.000168,0.016525,0.017624
516,0.312225,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.075073,0.000534,-0.005493,0.000168,0.017105,0.018204
521,0.312225,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.075378,0.000534,-0.005493,0.000168,0.017181,0.018280
526,0.312225,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.075378,0.000534,-0.005493,0.000168,0.017181,0.018280
531,0.312225,-0.000046,-0.080704,0.315994,-0.000031,-0.080994,0.075378,0.000534,-0.022125,0.000168,0.012894,0.017319
536,0.312256,-0.000046,-0.080704,0.315994,-0.000031,-0.080994,0.051880,0.000534,-0.008392,0.000168,0.010635,0.012314
