iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
396,0.314102,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.163803,0.002213,-0.118408,0.000702,0.009613,0.033340
401,0.314148,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.076599,0.002213,-0.098267,0.000687,-0.006622,0.013046
406,0.314163,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.116272,0.002213,-0.094833,0.000687,0.004028,0.023026
411,0.314163,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.172119,0.002213,-0.094604,0.000702,0.017822,0.036804
416,0.314194,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.130386,0.002213,-0.119934,0.000687,0.000992,0.025009
421,0.314209,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.100250,0.002213,-0.099792,0.000687,-0.001205,0.018784
426,0.314224,-0.000046,-0.080032,0.315994,-0.000031,-0.080994,0.114975,0.002213,-0.096359,0.000687,0.003311,0.022614
431,0.314270,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.058899,0.002213,-0.131760,0.000687,-0.019684,0.006683
436,0.314285,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.128098,0.002213,-0.102921,0.000687,0.004822,0.025436
441,0.314301,-0.000046,-0.080017,0.315994,-0.000031,-0.080994,0.092239,0.002213,-0.098114,0.000687,-0.002747,0.016891
446,0.314331,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.055313,0.002213,-0.148163,0.000687,-0.024826,0.004822
451,0.314331,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.148010,0.002213,-0.106964,0.000702,0.008667,0.030106
456,0.314346,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.138016,0.002213,-0.100098,0.000687,0.007980,0.028046
461,0.314377,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.070419,0.002213,-0.170975,0.000687,-0.027023,0.007187
