iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
391,0.315735,-0.000046,-0.080704,0.315994,-0.000031,-0.080994,0.024414,0.007629,-0.115204,0.002396,-0.024017,-0.000992
396,0.315735,-0.000046,-0.080719,0.315994,-0.000031,-0.080994,0.112762,0.007629,-0.083313,0.002411,0.006088,0.022675
401,0.315735,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,0.127869,0.007629,-0.086212,0.002411,0.009064,0.026215
406,0.315689,-0.000061,-0.080780,0.315994,-0.000031,-0.080994,0.448303,0.114136,0.196686,0.036057,0.161911,0.122253
411,0.315735,-0.000046,-0.080765,0.315994,-0.000031,-0.080994,-0.026398,-0.044098,-0.131378,-0.013931,-0.040771,-0.014481
416,0.315720,-0.000046,-0.080780,0.315994,-0.000031,-0.080994,0.159760,-0.000610,-0.060577,-0.000198,0.023621,0.035614
421,0.315720,-0.000061,-0.080826,0.315994,-0.000031,-0.080994,0.462341,0.155334,0.346375,0.049057,0.204422,0.134796
426,0.315750,-0.000046,-0.080826,0.315994,-0.000031,-0.080994,-0.019836,-0.066528,-0.011139,-0.021011,-0.007812,-0.005569
431,0.315704,-0.000061,-0.080856,0.315994,-0.000031,-0.080994,0.328522,0.072479,0.081940,0.022888,0.102463,0.085800
436,0.315735,-0.000061,-0.080841,0.315994,-0.000031,-0.080994,0.064697,0.025330,-0.098267,0.007996,-0.009659,0.009933
441,0.315750,-0.000061,-0.080841,0.315994,-0.000031,-0.080994,-0.028992,0.017548,-0.079498,0.005524,-0.027893,-0.011978
446,0.315750,-0.000061,-0.080841,0.315994,-0.000031,-0.080994,0.097809,0.016632,-0.076294,0.005249,0.004242,0.019424
451,0.315796,-0.000061,-0.080826,0.315994,-0.000031,-0.080994,-0.110931,0.016632,-0.152130,0.005234,-0.067062,-0.036560
456,0.315796,-0.000061,-0.080826,0.315994,-0.000031,-0.080994,0.064392,0.016632,-0.094452,0.005249,-0.008743,0.010086
461,0.315796,-0.000061,-0.080826,0.315994,-0.000031,-0.080994,0.094147,0.016632,-0.084839,0.005249,0.001114,0.017990
466,0.315826,-0.000046,-0.080872,0.315994,-0.000031,-0.080994,-0.048370,-0.025330,0.147705,-0.008011,0.026581,-0.002930
471,0.315811,-0.000046,-0.080887,0.315994,-0.000031,-0.080994,0.168457,0.002594,0.080719,0.000824,0.062637,0.046341
476,0.315826,-0.000046,-0.080872,0.315994,-0.000031,-0.080994,0.049133,0.007629,-0.086212,0.002411,-0.010361,0.006836
481,0.315811,-0.000061,-0.080887,0.315994,-0.000031,-0.080994,-0.050354,0.064240,-0.008545,0.020279,-0.014664,-0.012909
486,0.315826,-0.000061,-0.080887,0.315994,-0.000031,-0.080994,-0.037384,0.023956,-0.045166,0.007553,-0.021011,-0.011948
491,0.315842,-0.000061,-0.080872,0.315994,-0.000031,-0.080994,-0.012054,0.017090,-0.127869,0.005386,-0.036331,-0.010757
496,0.315857,-0.000046,-0.080887,0.315994,-0.000031,-0.080994,0.006409,-0.089417,0.034485,-0.028244,0.010574,0.003662
501,0.315857,-0.000061,-0.080917,0.315994,-0.000031,-0.080994,-0.014191,0.068817,0.115204,0.021729,0.026535,0.003510
506,0.315857,-0.000061,-0.080917,0.315994,-0.000031,-0.080994,0.055389,0.024872,-0.011597,0.007858,0.010651,0.012909
511,0.315872,-0.000061,-0.080902,0.315994,-0.000031,-0.080994,-0.009460,0.017548,-0.109406,0.005539,-0.030884,-0.009003
516,0.315887,-0.000061,-0.080917,0.315994,-0.000031,-0.080994,-0.006104,0.016632,0.092773,0.005249,0.022690,0.004135
521,0.315872,-0.000061,-0.080902,0.315994,-0.000031,-0.080994,0.150299,0.016632,-0.121307,0.005249,0.005463,0.029587
526,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.000305,-0.060120,0.095367,-0.018997,0.024948,0.005875
531,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.045166,-0.002899,-0.008545,-0.000916,0.008911,0.010590
536,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.052490,0.006714,-0.026398,0.002121,0.006073,0.011292
541,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
546,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
551,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
556,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
561,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
566,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
571,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
576,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
581,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
586,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
591,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
596,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
601,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
606,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
611,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
616,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
621,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
626,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
631,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
636,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
641,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
646,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
